+----------+----------+--------------+--------------+
|    x1    |    x2    |     f12      |     f21      |
|   0.01   |   0.27   |   24.4858    |   121.8326   |
|   0.01   |   0.28   |   24.9456    |   121.8516   |
|   0.01   |   0.29   |   25.4055    |   121.8742   |
|   0.01   |   0.30   |   25.8653    |   121.9005   |
|   0.01   |   0.31   |   26.3251    |   121.9303   |
|   0.01   |   0.32   |   26.7849    |   121.9637   |
|   0.01   |   0.33   |   27.2447    |   122.0007   |
|   0.01   |   0.34   |   27.7045    |   122.0413   |
|   0.01   |   0.35   |   28.1643    |   122.0855   |
|   0.01   |   0.36   |   28.6241    |   122.1333   |
|   0.01   |   0.37   |   29.0839    |   122.1848   |
|   0.01   |   0.38   |   29.5437    |   122.2398   |
|   0.01   |   0.39   |   30.0034    |   122.2984   |
|   0.01   |   0.40   |   30.4632    |   122.3606   |
|   0.01   |   0.41   |   30.9230    |   122.4264   |
|   0.01   |   0.42   |   31.3827    |   122.4958   |
|   0.01   |   0.43   |   31.8425    |   122.5688   |
|   0.01   |   0.44   |   32.3022    |   122.6455   |
|   0.01   |   0.45   |   32.7619    |   122.7257   |
|   0.01   |   0.46   |   33.2217    |   122.8095   |
|   0.01   |   0.47   |   33.6814    |   122.8969   |
|   0.01   |   0.48   |   34.1411    |   122.9879   |
|   0.01   |   0.49   |   34.6008    |   123.0825   |
|   0.01   |   0.50   |   35.0605    |   123.1808   |
|   0.01   |   0.51   |   35.5202    |   123.2826   |
|   0.01   |   0.52   |   35.9799    |   123.3880   |
|   0.01   |   0.53   |   36.4396    |   123.4970   |
|   0.01   |   0.54   |   36.8993    |   123.6096   |
|   0.01   |   0.55   |   37.3589    |   123.7258   |
|   0.01   |   0.56   |   37.8186    |   123.8456   |
|   0.01   |   0.57   |   38.2783    |   123.9691   |
|   0.01   |   0.58   |   38.7379    |   124.0961   |
|   0.01   |   0.59   |   39.1976    |   124.2267   |
|   0.01   |   0.60   |   39.6572    |   124.3609   |
|   0.01   |   0.61   |   40.1168    |   124.4987   |
|   0.01   |   0.62   |   40.5765    |   124.6401   |
|   0.01   |   0.63   |   41.0361    |   124.7851   |
|   0.01   |   0.64   |   41.4957    |   124.9338   |
|   0.01   |   0.65   |   41.9553    |   125.0860   |
|   0.01   |   0.66   |   42.4149    |   125.2418   |
|   0.01   |   0.67   |   42.8745    |   125.4012   |
|   0.01   |   0.68   |   43.3341    |   125.5642   |
|   0.01   |   0.69   |   43.7937    |   125.7308   |
|   0.01   |   0.70   |   44.2533    |   125.9010   |
|   0.01   |   0.71   |   44.7129    |   126.0749   |
|   0.01   |   0.72   |   45.1724    |   126.2523   |
|   0.01   |   0.73   |   45.6320    |   126.4333   |
|   0.01   |   0.74   |   46.0916    |   126.6179   |
|   0.01   |   0.75   |   46.5511    |   126.8061   |
|   0.01   |   0.76   |   47.0107    |   126.9979   |
|   0.01   |   0.77   |   47.4702    |   127.1934   |
|   0.01   |   0.78   |   47.9297    |   127.3924   |
|   0.01   |   0.79   |   48.3893    |   127.5950   |
|   0.01   |   0.80   |   48.8488    |   127.8012   |
|   0.01   |   0.81   |   49.3083    |   128.0110   |
|   0.01   |   0.82   |   49.7678    |   128.2244   |
|   0.01   |   0.83   |   50.2273    |   128.4414   |
|   0.01   |   0.84   |   50.6868    |   128.6621   |
|   0.01   |   0.85   |   51.1463    |   128.8863   |
|   0.01   |   0.86   |   51.6058    |   129.1141   |
|   0.01   |   0.87   |   52.0653    |   129.3455   |
|   0.01   |   0.88   |   52.5248    |   129.5805   |
